ag,Aguilar
mly0f,Mulberry Street YA Fiction
mly0l,Mulberry Street YA World Languages
mly0n,Mulberry Street YA Non-Fiction
mly0v,Mulberry Street YA Non-Print Media
mlyr,Mulberry Street Young Adult Reference
mlzzz,Mulberry Street (error code)
mm,Mid-Manhattan
mma,Mid-Manhattan Adult
mma0f,Mid-Manhattan Fiction First Floor
mma0n,Mid-Manhattan Non-Fiction First Floor
mma0v,Mid-Manhattan Non-Print Media First Floor
mma2f,Mid-Manhattan Fiction Second Floor
mma2n,Mid-Manhattan Non-Fiction Second Floor
mma2v,Mid-Manhattan Non-Print Media Second Floor
mma31,Mid-Manhattan Reference Third Floor
mma33,Mid-Manhattan Closed Shelf Reference Third Floor
mma3n,Mid-Manhattan Non-Fiction Third Floor
mma3v,Mid-Manhattan Non-Print Media Third Floor
mma41,Mid-Manhattan Reference Fourth Floor
mma43,Mid-Manhattan Closed Shelf Reference Fourth Floor
mma51,Mid-Manhattan Reference Fifth Floor
mma53,Mid-Manhattan Closed Shelf Reference Fifth Floor
mma5l,Mid-Manhattan World Languages Fifth Floor
mma5n,Mid-Manhattan Non-Fiction Fifth Floor
mma5v,Mid-Manhattan Non-Print Media Fifth Floor
mmar,Mid-Manhattan Adult Reference
mmj,Mid-Manhattan Children
mmj0a,Mid-Manhattan Children's Easy Book First Floor
mmj0f,Mid-Manhattan Children's Fiction First Floor
mmj0i,Mid-Manhattan Children's Picture Book First Floor
mmj0l,Mid-Manhattan Children's World Languages
mmj0n,Mid-Manhattan Children's Non-Fiction First Floor
mmj0v,Mid-Manhattan Children's Non-Print
mmj0y,Mid-Manhattan Children's Young Reader First Floor
mmjr,Mid-Manhattan Children's Reference
mmy,Mid-Manhattan Young Adult
mmy0f,Mid-Manhattan Young Adult Fiction First Floor
mmy0l,Mid-Manhattan Young Adult World Languages First Floor
mmy0n,Mid-Manhattan Young Adult Non-Fiction First Floor
mmy0v,Mid-Manhattan Young Adult Non-Print
mmy2f,Mid-Manhattan Young Adult Fiction Second Floor
mmzzz,Mid-Manhattan (error code)
mn,Mariner's Harbor
mna,Mariner's Harbor Adult
mna01,Mariner's Harbor Reference
mna03,Mariner's Harbor Closed Shelf Reference
mna0f,Mariner's Harbor Fiction
mna0l,Mariner's Harbor World Languages
mna0n,Mariner's Harbor Non-Fiction
mna0v,Mariner's Harbor Non-Print Media
mnar,Mariner's Harbor Adult Reference
mnj,Mariner's Harbor Children
mnj01,Mariner's Harbor Children's Reference
mnj0a,Mariner's Harbor Children's Easy Book
mnj0f,Mariner's Harbor Children's Fiction
mnj0h,Mariner's Harbor Children's Holiday Book
mnj0i,Mariner's Harbor Children's Picture Book
mnj0l,Mariner's Harbor Children's World Languages
mnj0n,Mariner's Harbor Children's Non-Fiction
mnj0t,Mariner's Harbor Children's Fairy Tale
mnj0v,Mariner's Harbor Children's Non-Print Media
mnj0y,Mariner's Harbor Children's Young Reader
mnjr,Mariner's Harbor Children's Reference
mny,Mariner's Harbor Young Adult
mny01,Mariner's Harbor YA Reference
mny0f,Mariner's Harbor YA Fiction
mny0l,Mariner's Harbor YA World Languages
mny0n,Mariner's Harbor YA Non-Fiction
mny0v,Mariner's Harbor YA Non-Print Media
mnyr,Mariner's Harbor Young Adult Reference
mnzzz,Mariner's Harbor (error code)
mo,Mosholu
moa,Mosholu Adult
moa01,Mosholu Reference
moa03,Mosholu Closed Shelf Reference
moa0f,Mosholu Fiction
moa0l,Mosholu World Languages
moa0n,Mosholu Non-Fiction
moa0v,Mosholu Non-Print Media
moar,Mosholu Adult Reference
moj,Mosholu Children
moj01,Mosholu Children's Reference
moj0a,Mosholu Children's Easy Book
moj0f,Mosholu Children's Fiction
moj0h,Mosholu Children's Holiday Book
moj0i,Mosholu Children's Picture Book
moj0l,Mosholu Children's World Languages
moj0n,Mosholu Children's Non-Fiction
moj0t,Mosholu Children's Fairy Tale
moj0v,Mosholu Children's Non-Print Media
moj0y,Mosholu Children's Young Reader
mojr,Mosholu Children's Reference
moy,Mosholu Young Adult
moy01,Mosholu YA Reference
moy0f,Mosholu YA Fiction
moy0l,Mosholu YA World Languages
moy0n,Mosholu YA Non-Fiction
moy0v,Mosholu YA Non-Print Media
moyr,Mosholu Young Adult Reference
mozzz,Mosholu (error code)
mp,Morris Park
mpa,Morris Park Adult
mpa01,Morris Park Reference
mpa03,Morris Park Closed Shelf Reference
mpa0f,Morris Park Fiction
mpa0l,Morris Park World Languages
mpa0n,Morris Park Non-Fiction
mpa0v,Morris Park Non-Print Media
mpar,Morris Park Adult Reference
mpj,Morris Park Children
mpj01,Morris Park Children's Reference
mpj0a,Morris Park Children's Easy Book
mpj0f,Morris Park Children's Fiction
mpj0h,Morris Park Children's Holiday Book
mpj0i,Morris Park Children's Picture Book
mpj0l,Morris Park Children's World Languages
mpj0n,Morris Park Children's Non-Fiction
mpj0t,Morris Park Children's Fairy Tale
mpj0v,Morris Park Children's Non-Print Media
mpj0y,Morris Park Children's Young Reader
mpjr,Morris Park Children's Reference
mpy,Morris Park Young Adult
mpy01,Morris Park YA Reference
mpy0f,Morris Park YA Fiction
mpy0l,Morris Park YA World Languages
mpy0n,Morris Park YA Non-Fiction
mpy0v,Morris Park YA Non-Print Media
mpyr,Morris Park Young Adult Reference
mpzzz,Morris Park (error code)
mr,Morrisania
mra,Morrisania Adult
mra01,Morrisania Reference
mra03,Morrisania Closed Shelf Reference
mra0f,Morrisania Fiction
mra0l,Morrisania World Languages
mra0n,Morrisania Non-Fiction
mra0v,Morrisania Non-Print Media
mrar,Morrisania Adult Reference
mrj,Morrisania Children
mrj01,Morrisania Children's Reference
mrj0a,Morrisania Children's Easy Book
mrj0f,Morrisania Children's Fiction
mrj0h,Morrisania Children's Holiday Book
mrj0i,Morrisania Children's Picture Book
mrj0l,Morrisania Children's World Languages
mrj0n,Morrisania Children's Non-Fiction
mrj0t,Morrisania Children's Fairy Tale
mrj0v,Morrisania Children's Non-Print Media
mrj0y,Morrisania Children's Young Reader
mrjr,Morrisania Children's Reference
mry,Morrisania Young Adult
mry01,Morrisania YA Reference
mry0f,Morrisania YA Fiction
mry0l,Morrisania YA World Languages
mry0n,Morrisania YA Non-Fiction
mry0v,Morrisania YA Non-Print Media
mryr,Morrisania Young Adult Reference
mrzzz,Morrisania (error code)
mu,Muhlenberg
mua,Muhlenberg Adult
mua01,Muhlenberg Reference
mua03,Muhlenberg Closed Shelf Reference
mua0f,Muhlenberg Fiction
mua0l,Muhlenberg World Languages
mua0n,Muhlenberg Non-Fiction
mua0v,Muhlenberg Non-Print Media
muar,Muhlenberg Adult Reference
muj,Muhlenberg Children
muj01,Muhlenberg Children's Reference
muj0a,Muhlenberg Children's Easy Book
muj0f,Muhlenberg Children's Fiction
muj0h,Muhlenberg Children's Holiday Book
muj0i,Muhlenberg Children's Picture Book
muj0l,Muhlenberg Children's World Languages
muj0n,Muhlenberg Children's Non-Fiction
muj0t,Muhlenberg Children's Fairy Tale
muj0v,Muhlenberg Children's Non-Print Media
muj0y,Muhlenberg Children's Young Reader
mujr,Muhlenberg Children's Reference
muy,Muhlenberg Young Adult
muy01,Muhlenberg YA Reference
muy0f,Muhlenberg YA Fiction
muy0l,Muhlenberg YA World Languages
muy0n,Muhlenberg YA Non-Fiction
muy0v,Muhlenberg YA Non-Print Media
muyr,Muhlenberg Young Adult Reference
muzzz,Muhlenberg (error code)
my,Performing Arts Library at Lincoln Center
mya,Performing Arts - Adult
mya01,Performing Arts Reference
mya03,Performing Arts Closed Shelf Reference
mya0n,Performing Arts Circulating Non-Fiction
mya0s,Performing Arts Circulating Score
mya0v,Performing Arts Circulating Recorded Media
mya21,Performing Arts Recorded Media Reference
mya23,Performing Arts Recorded Media Reference
myaos,Performing Arts - Orchestra Collection
myar,Performing Arts - Reserve Film and Video
myarn,Reserve Film and Video Adult Non-Fiction
myarv,Reserve Film and Video Adult Fiction
myas1,Performing Arts Song Index Reference Score
myav3,Performing Arts Closed Shelf Reference Recorded Media
myd,Performing Arts Research Collections - Dance
myd11,Performing Arts Research Collections - Dance - Reference
myd22,Performing Arts Research Collections - Dance
myd28,Performing Arts Research Collections  Dance
myd32,Performing Arts Research Collections - Dance
myd38,Performing Arts Research Collections  Dance
myd42,OFFSITE Rose - Request in advance for use at Performing Arts
myd48,OFFSITE Rose - Request in advance for use at Performing Arts
myf,Performing Arts Research Collections - TOFT
myf22,Performing Arts Research Collections - TOFT
myh,Performing Arts Research Collections - Recorded Sound
myh11,Performing Arts Research Collections - Recorded Sound - Reference
myh22,Performing Arts Research Collections - Recorded Sound
myh23,Performing Arts Research Collections - Recorded Sound - 2nd Floor Reference
myh32,Performing Arts Research Collections - Recorded Sound
myh42,OFFSITE Rose - Request in advance for use at Performing Arts
myj,Performing Arts Children
myj2v,Performing Arts Circulating Children's Recorded Media
myjrv,Reserve Film and Video Children's Fiction
mym,Performing Arts Research Collections - Music
mym11,Performing Arts Research Collections - Music - Reference
mym22,Performing Arts Research Collections - Music
mym28,Performing Arts Research Collections - Music
mym32,Performing Arts Research Collections - Music
mym38,Performing Arts Research Collections - Music
mym42,OFFSITE Rose - Request in advance for use at Performing Arts
mym48,OFFSITE Rose - Request in advance for use at Performing Arts
myr,Performing Arts Research Collections
myrfv,Performing Arts - Reserve Film and Video
myt,Performing Arts Research Collections - Theatre
myt11,Performing Arts Research Collections - Theatre - Reference
myt22,Performing Arts Research Collections - Theatre
myt28,Performing Arts Research Collections  Theatre
myt32,Performing Arts Research Collections  Theatre
myt38,Performing Arts Research Collections  Theatre
myt42,OFFSITE Rose - Request in advance for use at Performing Arts
myt48,OFFSITE Rose - Request in advance for use at Performing Arts
myv,Performing Arts - Reserve Film and Video
myy,Performing Arts Young Adult
myy0v,Performing Arts Circulating YA Non-Print Media
myy2v,Performing Arts Circulating Young Adult Recorded Media
myyrv,Reserve Film and Video Young Adult
myzzz,Performing Arts Library (error code)
nb,West New Brighton
nba,West New Brighton Adult
nba01,West New Brighton Reference
nba03,West New Brighton Closed Shelf Reference
nba0f,West New Brighton Fiction
nba0l,West New Brighton World Languages
nba0n,West New Brighton Non-Fiction
nba0v,West New Brighton Non-Print Media
nbar,West New Brighton Adult Reference
nbj,West New Brighton Children
nbj01,West New Brighton Children's Reference
nbj0a,West New Brighton Children's Easy Book
nbj0f,West New Brighton Children's Fiction
nbj0h,West New Brighton Children's Holiday Book
nbj0i,West New Brighton Children's Picture Book
nbj0l,West New Brighton Children's World Languages
nbj0n,West New Brighton Children's Non-Fiction
nbj0t,West New Brighton Children's Fairy Tale
nbj0v,West New Brighton Children's Non-Print Media
nbj0y,West New Brighton Children's Young Reader
nbjr,West New Brighton Children's Reference
nby,West New Brighton Young Adult
nby01,West New Brighton YA Reference
nby0f,West New Brighton YA Fiction
nby0l,West New Brighton YA World Languages
nby0n,West New Brighton YA Non-Fiction
nby0v,West New Brighton YA Non-Print Media
nbyr,West New Brighton Young Adult Reference
nbzzz,West New Brighton (error code)
nd,New Dorp
nda,New Dorp Adult
nda01,New Dorp Reference
nda03,New Dorp Closed Shelf Reference
nda0f,New Dorp Fiction
nda0l,New Dorp World Languages
nda0n,New Dorp Non-Fiction
nda0v,New Dorp Non-Print Media
ndar,New Dorp Adult Reference
ndj,New Dorp Children
ndj01,New Dorp Children's Reference
ndj0a,New Dorp Children's Easy Book
ndj0f,New Dorp Children's Fiction
ndj0h,New Dorp Children's Holiday Book
ndj0i,New Dorp Children's Picture Book
ndj0l,New Dorp Children's World Languages
ndj0n,New Dorp Children's Non-Fiction
ndj0t,New Dorp Children's Fairy Tale
ndj0v,New Dorp Children's Non-Print Media
ndj0y,New Dorp Children's Young Reader
ndjr,New Dorp Children's Reference
ndy,New Dorp Young Adult
ndy01,New Dorp YA Reference
ndy0f,New Dorp YA Fiction
ndy0l,New Dorp YA World Languages
ndy0n,New Dorp YA Non-Fiction
ndy0v,New Dorp YA Non-Print Media
ndyr,New Dorp Young Adult Reference
ndzzz,New Dorp (error code)
ns,96th Street
nsa,96th Street Adult
nsa01,96th Street Reference
nsa03,96th Street Closed Shelf Reference
nsa0f,96th Street Fiction
nsa0l,96th Street World Languages
nsa0n,96th Street Non-Fiction
nsa0v,96th Street Non-Print Media
nsar,96th Street Adult Reference
nsj,96th Street Children
nsj01,96th Street Children's Reference
nsj0a,96th Street Children's Easy Book
nsj0f,96th Street Children's Fiction
nsj0h,96th Street Children's Holiday Book
nsj0i,96th Street Children's Picture Book
nsj0l,96th Street Children's World Languages
nsj0n,96th Street Children's Non-Fiction
nsj0t,96th Street Children's Fairy Tale
nsj0v,96th Street Children's Non-Print Media
nsj0y,96th Street Children's Young Reader
nsjr,96th Street Children's Reference
nsy,96th Street Young Adult
nsy01,96th Street YA Reference
nsy0f,96th Street YA Fiction
nsy0l,96th Street YA World Languages
nsy0n,96th Street YA Non-Fiction
nsy0v,96th Street YA Non-Print Media
nsyr,96th Street Young Adult Reference
nszzz,96th Street (error code)
ot,Ottendorfer
ota,Ottendorfer Adult
ota01,Ottendorfer Reference
ota03,Ottendorfer Closed Shelf Reference
ota0f,Ottendorfer Fiction
ota0l,Ottendorfer World Languages
ota0n,Ottendorfer Non-Fiction
ota0v,Ottendorfer Non-Print Media
otar,Ottendorfer Adult Reference
otj,Ottendorfer Children
otj01,Ottendorfer Children's Reference
otj0a,Ottendorfer Children's Easy Book
otj0f,Ottendorfer Children's Fiction
otj0h,Ottendorfer Children's Holiday Book
otj0i,Ottendorfer Children's Picture Book
otj0l,Ottendorfer Children's World Languages
otj0n,Ottendorfer Children's Non-Fiction
otj0t,Ottendorfer Children's Fairy Tale
otj0v,Ottendorfer Children's Non-Print Media
otj0y,Ottendorfer Children's Young Reader
otjr,Ottendorfer Children's Reference
oty,Ottendorfer Young Adult
oty01,Ottendorfer YA Reference
oty0f,Ottendorfer YA Fiction
oty0l,Ottendorfer YA World Languages
oty0n,Ottendorfer YA Non-Fiction
oty0v,Ottendorfer YA Non-Print Media
otyr,Ottendorfer Young Adult Reference
otzzz,Ottendorfer (error code)
pk,Parkchester
pka,Parkchester Adult
pka01,Parkchester Reference
pka03,Parkchester Closed Shelf Reference
pka0f,Parkchester Fiction
pka0l,Parkchester World Languages
pka0n,Parkchester Non-Fiction
pka0v,Parkchester Non-Print Media
pkar,Parkchester Adult Reference
pkj,Parkchester Children
pkj01,Parkchester Children's Reference
pkj0a,Parkchester Children's Easy Book
pkj0f,Parkchester Children's Fiction
pkj0h,Parkchester Children's Holiday Book
pkj0i,Parkchester Children's Picture Book
pkj0l,Parkchester Children's World Languages
pkj0n,Parkchester Children's Non-Fiction
pkj0t,Parkchester Children's Fairy Tale
pkj0v,Parkchester Children's Non-Print Media
pkj0y,Parkchester Children's Young Reader
pkjr,Parkchester Children's Reference
pky,Parkchester Young Adult
pky01,Parkchester YA Reference
pky0f,Parkchester YA Fiction
pky0l,Parkchester YA World Languages
pky0n,Parkchester YA Non-Fiction
pky0v,Parkchester YA Non-Print Media
pkyr,Parkchester Young Adult Reference
pkzzz,Parkchester (error code)
pm,Pelham Bay
pma,Pelham Bay Adult
pma01,Pelham Bay Reference
pma03,Pelham Bay Closed Shelf Reference
pma0f,Pelham Bay Fiction
pma0l,Pelham Bay World Languages
pma0n,Pelham Bay Non-Fiction
pma0v,Pelham Bay Non-Print Media
pmar,Pelham Bay Adult Reference
pmj,Pelham Bay Children
pmj01,Pelham Bay Children's Reference
pmj0a,Pelham Bay Children's Easy Book
pmj0f,Pelham Bay Children's Fiction
pmj0h,Pelham Bay Children's Holiday Book
pmj0i,Pelham Bay Children's Picture Book
pmj0l,Pelham Bay Children's World Languages
pmj0n,Pelham Bay Children's Non-Fiction
pmj0t,Pelham Bay Children's Fairy Tale
pmj0v,Pelham Bay Children's Non-Print Media
pmj0y,Pelham Bay Children's Young Reader
pmjr,Pelham Bay Children's Reference
pmy,Pelham Bay Young Adult
pmy01,Pelham Bay YA Reference
pmy0f,Pelham Bay YA Fiction
pmy0l,Pelham Bay YA World Languages
pmy0n,Pelham Bay YA Non-Fiction
pmy0v,Pelham Bay YA Non-Print Media
pmyr,Pelham Bay Young Adult Reference
pmzzz,Pelham Bay (error code)
pr,Port Richmond
pra,Port Richmond Adult
pra01,Port Richmond Reference
pra03,Port Richmond Closed Shelf Reference
pra0f,Port Richmond Fiction
pra0l,Port Richmond World Languages
pra0n,Port Richmond Non-Fiction
pra0v,Port Richmond Non-Print Media
prar,Port Richmond Adult Reference
prj,Port Richmond Children
prj01,Port Richmond Children's Reference
prj0a,Port Richmond Children's Easy Book
prj0f,Port Richmond Children's Fiction
prj0h,Port Richmond Children's Holiday Book
prj0i,Port Richmond Children's Picture Book
prj0l,Port Richmond Children's World Languages
prj0n,Port Richmond Children's Non-Fiction
prj0t,Port Richmond Children's Fairy Tale
prj0v,Port Richmond Children's Non-Print Media
prj0y,Port Richmond Children's Young Reader
prjr,Port Richmond Children's Reference
pry,Port Richmond Young Adult
pry01,Port Richmond YA Reference
pry0f,Port Richmond YA Fiction
pry0l,Port Richmond YA World Languages
pry0n,Port Richmond YA Non-Fiction
pry0v,Port Richmond YA Non-Print Media
pryr,Port Richmond Young Adult Reference
przzz,Port Richmond (error code)
qc,NYPL Research Libraries
qc2ma,OFFSITE - TSD - Request in Advance
qc2mj,OFFSITE - TSD - Request in Advance
qc2sc,OFFSITE - TSD - Request in Advance
qc2sl,OFFSITE - TSD - Request in Advance
qcma2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmb2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmb8,OFFSITE - Request in Advance for use at SASB Art Division
qcmb9,SASB Art--Offsite--Restricted
qcmf2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmf8,OFFSITE - Request in Advance for use at SASB Jewish Division
qcmf9,SASB Jewish--Offsite--Restricted
qcmg2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmg8,OFFSITE - Request in Advance for use at SASB Local History & Geneology Division
qcmi2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmj2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcml2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmo2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmp2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmq2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmr2,OFFSITE - TSD - Request in Advance for use at Schwarzman Bldg
qcmy2,OFFSITE - TSD - Request in Advance for use at Performing Arts
qcsc2,OFFSITE - TSD - Request in Advance for use at Schomburg Center
qcsl2,OFFSITE - TSD - Request in Advance for use at SIBL
qcxx2,OFFSITE - TSD - Preservation Division use only
rc,NYPL Research Libraries
rc2ma,OFFSITE - Request in Advance
rc2mj,OFFSITE - Request in Advance
rc2sc,OFFSITE - Request in Advance
rc2sl,OFFSITE - Request in Advance
rcma2,OFFSITE - Request in Advance for use at Schwarzman Bldg
rcmb2,OFFSITE - Request in Advance for use at Schwarzman Bldg - Art Division
rcmb8,OFFSITE - Request in Advance for use at Schwarzman Bldg. - Art Division
rcmb9,SASB Art--Offsite--Restricted
rcmf2,OFFSITE - Request in Advance for use at Schwarzman Bldg - Jewish Division
rcmf8,OFFSITE - Request in Advance for use at Schwarzman Bldg. - Jewish Divison
rcmf9,SASB Jewish--Offsite--Restricted
rcmg2,OFFSITE - Request in Advance for use at Schwarzman Bldg - Local History & Geneology
rcmg8,OFFSITE - Request in Advance for use at SASB Local History & Geneology
rcmg9,SASB LHG--Offsite--Restricted
rcmi2,OFFSITE - Request in Advance for use at Schwarzman Bldg
rcmj2,OFFSITE - Request in Advance for use at Schwarzman Bldg
rcml2,OFFSITE - Request in Advance for use at Schwarzman Bldg Main Reading Room 315
rcmo2,OFFSITE - Request in Advance for use at Schwarzman Bldg
rcmp2,OFFSITE - Request in Advance for use at Schwarzman Bldg - Maps Division
rcmq2,OFFSITE - Request in Advance for use at Schwarzman Bldg
rcmr2,OFFSITE - Request in Advance for use at Schwarzman Bldg
rcmy8,Performing Arts Offsite See LPA Staff for Appointment
rcpd2,OFFSITE - Request in Advance for use at Performing Arts
rcpd9,OFFSITE - Performing Arts--Offsite--Restricted Use
rcpf2,OFFSITE - Request in Advance for use at Performing Arts
rcph2,OFFSITE - Request in Advance for use at Performing Arts
rcpm2,OFFSITE - Request in Advance for use at Performing Arts
rcpr2,OFFSITE - Request in Advance for use at Performing Arts
rcpr9,OFFSITE - Performing Arts--Offsite--Restricted Use
rcpt2,OFFSITE - Request in Advance for use at Performing Arts
rcsc2,OFFSITE - Request in Advance for use at Schomburg Center
rcsl2,OFFSITE - Request in Advance for use at SIBL
rcxx2,OFFSITE - Preservation Division use only
rd,Riverdale
rda,Riverdale Adult
rda01,Riverdale Reference
rda03,Riverdale Closed Shelf Reference
rda0f,Riverdale Fiction
rda0l,Riverdale World Languages
rda0n,Riverdale Non-Fiction
rda0v,Riverdale Non-Print Media
rdar,Riverdale Adult Reference
rdj,Riverdale Children
rdj01,Riverdale Children's Reference
rdj0a,Riverdale Children's Easy Book
rdj0f,Riverdale Children's Fiction
rdj0h,Riverdale Children's Holiday Book
rdj0i,Riverdale Children's Picture Book
rdj0l,Riverdale Children's World Languages
rdj0n,Riverdale Children's Non-Fiction
rdj0t,Riverdale Children's Fairy Tale
rdj0v,Riverdale Children's Non-Print Media
rdj0y,Riverdale Children's Young Reader
rdjr,Riverdale Children's Reference
rdy,Riverdale Young Adult
rdy01,Riverdale YA Reference
rdy0f,Riverdale YA Fiction
rdy0l,Riverdale YA World Languages
rdy0n,Riverdale YA Non-Fiction
rdy0v,Riverdale YA Non-Print Media
rdyr,Riverdale Young Adult Reference
rdzzz,Riverdale (error code)
ri,Roosevelt Island
ria,Roosevelt Island Adult
ria01,Roosevelt Island Reference
ria03,Roosevelt Island Closed Shelf Reference
ria0f,Roosevelt Island Fiction
ria0l,Roosevelt Island World Languages
ria0n,Roosevelt Island Non-Fiction
ria0v,Roosevelt Island Non-Print Media
riar,Roosevelt Island Adult Reference
rij,Roosevelt Island Children
rij01,Roosevelt Island Children's Reference
rij0a,Roosevelt Island Children's Easy Book
rij0f,Roosevelt Island Children's Fiction
rij0h,Roosevelt Island Children's Holiday Book
rij0i,Roosevelt Island Children's Picture Book
rij0l,Roosevelt Island Children's World Languages
rij0n,Roosevelt Island Children's Non-Fiction
rij0t,Roosevelt Island Children's Fairy Tale
rij0v,Roosevelt Island Children's Non-Print Media
rij0y,Roosevelt Island Children's Young Reader
rijr,Roosevelt Island Children's Reference
riy,Roosevelt Island Young Adult
riy01,Roosevelt Island YA Reference
riy0f,Roosevelt Island YA Fiction
riy0l,Roosevelt Island YA World Languages
riy0n,Roosevelt Island YA Non-Fiction
riy0v,Roosevelt Island YA Non-Print Media
riyr,Roosevelt Island Young Adult Reference
rizzz,Roosevelt Island (error code)
rs,Riverside
rsa,Riverside Adult
rsa01,Riverside Reference
rsa03,Riverside Closed Shelf Reference
rsa0f,Riverside Fiction
rsa0l,Riverside World Languages
rsa0n,Riverside Non-Fiction
rsa0v,Riverside Non-Print Media
rsar,Riverside Adult Reference
rsj,Riverside Children
rsj01,Riverside Children's Reference
rsj0a,Riverside Children's Easy Book
rsj0f,Riverside Children's Fiction
rsj0h,Riverside Children's Holiday Book
rsj0i,Riverside Children's Picture Book
rsj0l,Riverside Children's World Languages
rsj0n,Riverside Children's Non-Fiction
rsj0t,Riverside Children's Fairy Tale
rsj0v,Riverside Children's Non-Print Media
rsj0y,Riverside Children's Young Reader
rsjr,Riverside Children's Reference
rsy,Riverside Young Adult
rsy01,Riverside YA Reference
rsy0f,Riverside YA Fiction
rsy0l,Riverside YA World Languages
rsy0n,Riverside YA Non-Fiction
rsy0v,Riverside YA Non-Print Media
rsyr,Riverside Young Adult Reference
rszzz,Riverside (error code)
rt,Richmondtown
rta,Richmondtown Adult
rta01,Richmondtown Reference
rta03,Richmondtown Closed Shelf Reference
rta0f,Richmondtown Fiction
rta0l,Richmondtown World Languages
rta0n,Richmondtown Non-Fiction
rta0v,Richmondtown Non-Print Media
rtar,Richmondtown Adult Reference
rtj,Richmondtown Children
rtj01,Richmondtown Children's Reference
rtj0a,Richmondtown Children's Easy Book
rtj0f,Richmondtown Children's Fiction
rtj0h,Richmondtown Children's Holiday Book
rtj0i,Richmondtown Children's Picture Book
rtj0l,Richmondtown Children's World Languages
rtj0n,Richmondtown Children's Non-Fiction
rtj0t,Richmondtown Children's Fairy Tale
rtj0v,Richmondtown Children's Non-Print Media
rtj0y,Richmondtown Children's Young Reader
rtjr,Richmondtown Children's Reference
rty,Richmondtown Young Adult
rty01,Richmondtown YA Reference
rty0f,Richmondtown YA Fiction
rty0l,Richmondtown YA World Languages
rty0n,Richmondtown YA Non-Fiction
rty0v,Richmondtown YA Non-Print Media
rtyr,Richmondtown Young Adult Reference
rtzzz,Richmondtown (error code)
sa,St. Agnes
saa,St. Agnes Adult
saa01,St. Agnes Reference
saa03,St. Agnes Closed Shelf Reference
saa0f,St. Agnes Fiction
saa0l,St. Agnes World Languages
saa0n,St. Agnes Non-Fiction
saa0v,St. Agnes Non-Print Media
saa0w,St. Agnes Center for Reading & Writing
saar,St. Agnes Adult Reference
saj,St. Agnes Children
saj01,St. Agnes Children's Reference
saj0a,St. Agnes Children's Easy Book
saj0f,St. Agnes Children's Fiction
saj0h,St. Agnes Children's Holiday Book
saj0i,St. Agnes Children's Picture Book
saj0l,St. Agnes Children's World Languages
saj0n,St. Agnes Children's Non-Fiction
saj0t,St. Agnes Children's Fairy Tale
saj0v,St. Agnes Children's Non-Print Media
saj0y,St. Agnes Children's Young Reader
sajr,St. Agnes Children's Reference
say,St. Agnes Young Adult
say01,St. Agnes YA Reference
say0f,St. Agnes YA Fiction
say0l,St. Agnes YA World Languages
say0n,St. Agnes YA Non-Fiction
say0v,St. Agnes YA Non-Print Media
sayr,St. Agnes Young Adult Reference
sazzz,St. Agnes (error code)
sb,South Beach
sba,South Beach Adult
sba01,South Beach Reference
sba03,South Beach Closed Shelf Reference
sba0f,South Beach Fiction
sba0l,South Beach World Languages
sba0n,South Beach Non-Fiction
sba0v,South Beach Non-Print Media
sbar,South Beach Adult Reference
sbj,South Beach Children
sbj01,South Beach Children's Reference
sbj0a,South Beach Children's Easy Book
sbj0f,South Beach Children's Fiction
sbj0h,South Beach Children's Holiday Book
sbj0i,South Beach Children's Picture Book
sbj0l,South Beach Children's World Languages
sbj0n,South Beach Children's Non-Fiction
sbj0t,South Beach Children's Fairy Tale
sbj0v,South Beach Children's Non-Print Media
sbj0y,South Beach Children's Young Reader
sbjr,South Beach Children's Reference
sby,South Beach Young Adult
sby01,South Beach YA Reference
sby0f,South Beach YA Fiction
sby0l,South Beach YA World Languages
sby0n,South Beach YA Non-Fiction
sby0v,South Beach YA Non-Print Media
sbyr,South Beach Young Adult Reference
sbzzz,South Beach (error code)
sc,Schomburg Center
scb,Schomburg Center - Moving Image & Recorded Sound
scbb2,Schomburg Center - Moving Image & Recorded Sound
scc,Schomburg Center - Art & Artifacts
sccc2,Schomburg Center - Art & Artifacts
sccc3,Schomburg Center - Art & Artifacts - Desk
scd,Schomburg Center - Manuscripts & Archives
scdd1,Schomburg Center - Manuscripts & Archives Reference
scdd2,Schomburg Center - Manuscripts & Archives
sce,Schomburg Center - Photographs & Prints
scee2,Schomburg Center - Photographs & Prints
scf,Schomburg Center - Research & Reference
scff1,Schomburg Center - Research & Reference - Open Shelf
scff2,Schomburg Center - Research & Reference
scff3,Schomburg Center - Research & Reference - Desk
sczzz,Schomburg Center - (error code)
sd,Sedgwick
sda,Sedgwick Adult
sda01,Sedgwick Reference
sda03,Sedgwick Closed Shelf Reference
